#t x y z vx vy vz
0.00 -377.81 611.48 -284.58 72.93 -71.99 49.37
71.43 -372.46 606.25 -281.08 74.91 -76.54 52.74
142.86 -367.22 600.88 -277.49 73.47 -75.61 50.52
214.29 -361.78 595.42 -273.97 73.57 -77.73 52.01
285.71 -356.46 589.88 -270.49 71.58 -80.30 50.34
357.14 -351.24 584.12 -266.97 71.91 -82.79 48.53
428.57 -346.10 578.26 -263.58 68.50 -81.82 45.80
500.00 -341.24 572.22 -260.11 66.23 -82.49 44.18
571.43 -336.53 566.19 -256.74 64.87 -82.18 44.39
642.86 -331.96 560.20 -253.48 63.72 -83.96 44.61
714.29 -327.73 554.33 -250.38 57.56 -82.64 43.92
785.71 -323.78 548.49 -247.25 52.32 -80.68 43.83
857.14 -320.20 542.96 -244.36 46.69 -76.41 41.94
928.57 -316.73 537.63 -241.50 45.17 -72.34 40.04
1000.00 -313.44 532.56 -238.48 45.79 -70.29 44.41
1071.43 -310.33 527.67 -235.11 42.18 -65.21 48.70
1142.86 -307.06 522.98 -231.59 45.36 -62.60 49.41
1214.29 -303.81 518.47 -227.89 48.40 -63.13 54.87
1285.71 -300.38 514.00 -223.89 47.51 -61.27 58.81
1357.14 -296.75 509.68 -219.84 52.55 -61.46 59.92
1428.57 -292.95 505.26 -215.52 54.76 -62.51 62.63
1500.00 -288.91 500.84 -211.07 59.11 -62.86 62.84
1571.43 -284.62 496.34 -206.56 60.60 -63.85 63.73
1642.86 -280.16 491.73 -201.88 63.81 -65.35 66.20
1714.29 -275.57 487.06 -197.14 70.31 -68.38 66.82
1785.71 -270.58 482.13 -192.16 73.91 -69.20 68.17
1857.14 -265.42 477.29 -187.35 76.96 -72.00 69.46
1928.57 -260.03 472.20 -182.23 78.33 -71.01 70.90
2000.00 -254.40 467.04 -177.28 79.38 -73.43 71.55
2071.43 -248.72 461.66 -172.16 81.66 -77.84 72.42
2142.86 -242.67 456.03 -167.03 84.25 -81.30 75.13
2214.29 -236.62 450.23 -161.73 85.95 -81.95 73.10
2285.71 -230.40 444.29 -156.39 89.37 -83.15 70.99
2357.14 -224.03 438.16 -151.07 92.49 -87.59 71.27
2428.57 -217.66 431.76 -145.74 89.94 -91.66 71.10
2500.00 -211.21 425.16 -140.52 91.59 -94.69 72.93
2571.43 -204.70 418.30 -135.19 93.05 -96.44 73.70
2642.86 -198.14 411.26 -129.77 91.26 -96.47 73.47
