#t x y z vx vy vz
2714.29 -191.44 404.23 -124.49 92.94 -98.80 72.97
2785.71 -184.65 396.96 -119.01 93.69 -101.64 76.63
2857.14 -177.89 389.58 -113.46 96.15 -103.81 77.06
2928.57 -170.87 381.94 -107.86 95.43 -105.64 77.32
3000.00 -163.84 374.08 -102.19 96.50 -111.18 79.66
3071.43 -156.73 365.89 -96.34 97.51 -112.65 82.93
3142.86 -149.33 357.43 -90.33 101.20 -118.82 83.57
3214.29 -142.04 348.76 -84.26 102.60 -121.80 83.67
3285.71 -134.47 339.69 -78.14 106.91 -129.91 87.47
3357.14 -126.72 330.08 -71.75 110.64 -136.09 90.20
3428.57 -118.77 320.11 -65.38 113.31 -144.93 88.28
3500.00 -110.55 309.44 -59.14 118.76 -158.21 87.65
3571.43 -102.05 297.80 -52.96 116.72 -169.70 90.41
3642.86 -93.46 285.35 -46.89 122.68 -182.83 86.68
3714.29 -84.40 271.67 -41.12 124.27 -200.68 82.40
3785.71 -75.34 256.38 -35.60 125.55 -228.79 71.69
3857.14 -66.45 239.12 -30.97 122.74 -260.23 53.46
3928.57 -58.45 219.16 -28.24 96.09 -299.58 13.13
4000.00 -53.55 197.81 -29.47 42.26 -285.10 -52.92
4071.43 -51.91 179.33 -33.99 13.41 -230.35 -68.98
4142.86 -51.18 164.48 -38.68 16.04 -183.85 -59.44
4214.29 -50.07 152.12 -42.26 21.37 -157.22 -41.95
4285.71 -48.72 141.68 -44.78 22.57 -134.28 -25.39
4357.14 -47.25 132.63 -46.19 19.26 -113.45 -13.27
4428.57 -45.73 124.97 -47.05 16.84 -98.19 -3.83
4500.00 -44.43 118.50 -47.28 18.49 -81.64 0.99
4571.43 -43.09 113.07 -47.08 14.85 -66.34 5.24
4642.86 -41.98 108.82 -46.67 14.84 -54.33 8.99
4714.29 -40.83 105.37 -45.93 14.73 -43.72 14.23
4785.71 -39.82 102.81 -45.06 12.85 -32.63 14.90
4857.14 -38.72 100.92 -43.93 16.33 -22.22 16.67
4928.57 -37.57 99.84 -42.78 16.88 -11.43 17.57
5000.00 -36.16 99.42 -41.59 19.30 -3.98 21.76
5071.43 -34.74 99.47 -40.00 20.07 5.01 24.39
5142.86 -33.13 100.15 -38.25 22.88 13.87 27.88
5214.29 -31.28 101.39 -36.21 27.12 19.60 33.61
5285.71 -29.42 103.10 -33.76 26.63 28.56 37.53
5357.14 -27.22 105.52 -31.11 30.35 37.08 42.07
5428.57 -24.99 108.51 -27.99 34.16 48.26 45.78
5500.00 -22.45 112.27 -24.63 37.58 55.70 52.10
5571.43 -19.75 116.89 -20.72 44.08 70.29 58.80
5642.86 -16.61 122.54 -16.35 49.09 87.27 68.40
5714.29 -13.01 129.65 -11.34 60.69 110.49 80.03
5785.71 -8.30 138.71 -5.09 80.92 147.05 98.87
5857.14 -0.52 150.69 3.24 197.08 148.45 134.20
5928.57 10.50 156.78 9.18 119.87 20.56 64.17
6000.00 17.61 157.89 12.18 50.88 -6.57 39.22
6071.43 21.85 156.39 13.98 8.34 -21.28 22.19
6142.86 23.81 152.80 15.34 -14.48 -50.91 8.27
6214.29 24.16 147.12 16.03 -52.25 -116.08 -21.18
6285.71 24.74 141.27 15.97 56.09 0.60 50.13
6357.14 27.44 139.79 17.98 36.35 -8.41 50.76
6428.57 29.55 138.31 20.05 29.25 -28.03 41.03
6500.00 31.24 136.18 21.87 36.78 -35.28 38.28
6571.43 32.85 134.28 24.30 37.74 -25.69 49.23
6642.86 34.60 132.72 26.91 41.93 -26.85 43.33
6714.29 36.99 131.14 29.42 43.06 -27.02 41.87
6785.71 39.58 129.52 31.74 38.10 -34.63 29.24
6857.14 42.11 127.40 34.02 40.08 -32.43 28.02
6928.57 44.58 125.49 36.36 38.36 -33.91 27.01
7000.00 47.10 123.22 38.40 40.62 -33.88 27.23
7071.43 49.41 120.67 40.20 34.22 -34.80 14.95
7142.86 52.04 118.24 41.98 34.56 -30.72 15.03
7214.29 54.46 116.16 43.61 33.45 -27.99 14.36
7285.71 56.92 114.15 45.25 34.49 -29.59 14.53
7357.14 59.61 112.34 46.91 36.27 -25.13 18.95
7428.57 62.11 110.67 48.49 34.51 -22.42 19.51
7500.00 64.86 109.02 50.05 37.15 -22.66 22.68
7571.43 67.46 107.51 51.56 35.68 -22.65 24.82
7642.86 70.14 106.13 53.21 34.78 -21.15 20.89
7714.29 72.69 104.51 54.68 31.69 -19.78 21.57
7785.71 75.38 103.25 55.99 33.51 -16.17 20.02
7857.14 78.07 101.98 57.49 32.38 -18.76 19.97
7928.57 80.68 100.44 59.03 32.79 -20.70 16.59
8000.00 83.34 99.13 60.69 34.07 -18.06 21.15
8071.43 85.87 97.82 62.47 34.34 -18.67 22.30
8142.86 88.07 96.58 64.29 33.06 -16.56 24.52
8214.29 90.44 95.41 66.09 34.61 -15.84 25.95
8285.71 92.71 94.12 68.16 35.69 -20.86 31.16
8357.14 95.02 92.67 70.31 36.99 -20.31 35.55
8428.57 97.38 91.17 72.26 37.50 -24.06 32.40
8500.00 99.80 89.38 74.30 34.49 -28.39 32.64
8571.43 102.47 87.43 76.36 35.97 -28.45 29.93
8642.86 105.02 85.37 78.16 33.62 -33.60 23.40
8714.29 107.54 83.18 79.97 29.52 -31.38 25.16
8785.71 109.76 81.32 81.93 32.63 -28.11 23.30
8857.14 112.22 79.29 83.65 32.04 -29.27 20.83
8928.57 114.27 77.32 85.28 31.96 -27.38 21.88
9000.00 116.45 75.36 87.02 32.29 -26.18 19.74
9071.43 118.50 73.34 88.58 29.25 -24.54 21.67
9142.86 120.55 71.40 90.31 30.62 -25.19 21.16
9214.29 122.53 69.40 91.90 29.44 -25.18 18.71
9285.71 124.43 67.27 93.26 31.41 -26.39 19.60
9357.14 126.45 65.45 94.67 31.19 -26.46 21.87
9428.57 128.44 63.66 96.07 27.19 -25.42 21.69
9500.00 130.37 62.20 97.40 24.89 -20.83 19.92
9571.43 132.29 60.77 98.87 25.19 -14.66 22.31
9642.86 134.42 59.78 100.37 29.05 -13.31 23.10
9714.29 136.66 58.73 102.18 31.63 -13.28 23.70
9785.71 139.05 57.84 104.12 33.05 -14.51 25.25
9857.14 141.66 56.97 106.26 33.92 -18.72 25.55
9928.57 144.03 55.81 108.24 32.74 -20.24 30.17
10000.00 146.48 54.82 110.54 36.63 -20.54 31.43
10071.40 148.97 53.51 112.67 33.42 -19.32 31.90
10142.90 151.46 52.23 114.81 31.23 -18.16 33.27
10214.30 154.09 50.96 116.80 34.18 -19.16 30.46
10285.70 156.72 49.41 118.94 34.43 -19.59 29.34
10357.10 159.47 47.80 121.18 36.34 -19.92 28.11
10428.60 162.14 46.03 123.13 34.84 -24.99 27.97
10500.00 164.81 44.09 125.49 33.18 -31.74 25.65
10571.40 167.00 42.04 127.52 31.98 -31.09 19.58
10642.90 169.31 40.07 129.24 28.82 -29.89 19.34
10714.30 171.18 38.13 130.81 31.27 -26.00 17.16
10785.70 173.15 36.40 132.20 26.77 -22.21 19.92
10857.10 174.73 34.60 133.58 28.31 -18.71 19.03
10928.60 176.31 32.98 134.83 27.81 -16.86 21.46
11000.00 178.11 31.61 136.13 30.21 -15.56 24.74
11071.40 179.95 30.34 137.63 31.90 -16.82 26.61
11142.90 181.82 28.89 139.15 29.80 -20.11 27.68
11214.30 183.93 27.45 140.69 29.18 -18.62 29.45
11285.70 186.17 26.26 142.40 29.19 -17.74 27.13
11357.10 188.46 25.07 144.10 30.56 -20.35 27.85
